,bricolage,chambre,diamant,décoration,facile,haute,lampe,led,lumière,maison,matériel,mur,noël,pc,peinture,plaît,produit,qualité,résine,toile,category_code
110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,2060
111,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2060
112,3,0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,2060
113,0,0,0,0,0,1,12,2,8,0,1,0,0,0,0,0,1,1,0,0,2060
114,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2060
115,1,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,2060
116,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2060
117,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
118,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2060
119,0,0,0,1,1,0,1,3,3,0,1,0,0,1,0,0,1,0,0,0,2060
120,0,0,0,0,0,1,2,5,4,0,0,0,0,0,0,1,0,0,0,0,2060
121,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,1,0,0,0,0,2060
122,3,1,11,1,1,1,0,0,2,0,1,0,0,1,7,1,1,1,5,2,2060
123,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,1,0,0,2060
124,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,2060
125,0,0,0,0,0,1,0,4,6,0,0,0,1,1,0,0,1,1,0,0,2060
126,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2060
127,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2060
128,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2060
129,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2060
130,0,1,0,0,0,3,1,5,0,0,1,0,0,0,0,0,0,1,0,0,2060
131,0,0,0,2,1,1,0,0,0,1,1,1,4,0,1,0,0,1,0,0,2060
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
133,1,0,0,1,0,1,0,0,0,2,0,1,0,2,0,0,0,1,0,0,2060
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
135,1,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2060
136,0,0,0,0,1,1,1,5,1,0,0,0,0,0,0,0,0,1,0,0,2060
137,0,3,0,2,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,2060
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
140,0,0,0,0,0,2,0,9,4,1,0,0,0,0,0,0,0,1,0,0,2060
141,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,2060
142,1,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2060
143,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,2060
144,2,0,0,2,1,0,0,0,0,1,2,4,0,0,0,1,0,0,0,0,2060
145,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2060
146,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2060
147,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,2060
148,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2060
149,0,0,0,1,1,1,0,0,0,0,1,0,11,0,0,0,0,2,0,0,2060
150,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
151,0,0,0,1,1,0,1,3,3,0,1,0,0,1,0,0,1,0,0,0,2060
152,1,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,2060
153,0,2,0,4,0,2,0,0,1,3,1,2,0,0,3,2,1,2,0,5,2060
154,1,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,2060
155,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,2060
156,0,0,0,0,1,0,2,1,7,2,1,1,0,0,0,0,0,0,0,0,2060
157,2,0,0,5,0,3,0,0,0,7,0,0,0,0,0,0,6,2,0,0,2060
158,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
159,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2060
160,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2060
161,0,0,0,1,0,2,0,0,0,0,1,0,10,1,0,1,0,2,0,0,2060
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
163,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2060
164,5,1,11,2,1,0,0,0,2,0,1,0,0,3,8,1,1,1,5,4,2060
165,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,2060
166,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2060
167,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,2060
168,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2060
169,2,1,17,7,0,1,0,0,1,6,1,0,0,16,9,0,5,0,6,6,2060
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
172,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2060
173,3,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2060
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
176,1,3,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2060
177,1,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,2060
178,0,1,0,2,2,0,0,0,0,2,0,5,0,0,1,3,0,1,0,0,2060
179,5,1,11,4,1,1,0,0,2,0,1,0,0,0,8,1,1,2,5,5,2060
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
181,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2060
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
183,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2060
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
185,5,1,9,2,1,1,0,0,2,0,1,0,0,3,7,1,1,2,5,5,2060
186,0,3,0,2,1,0,0,0,1,1,1,2,0,0,0,1,0,0,0,0,2060
187,0,0,0,1,0,1,1,3,2,1,0,0,0,0,0,1,0,1,0,0,2060
188,0,0,0,0,0,0,5,4,1,0,1,0,0,0,0,1,0,0,0,0,2060
189,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,1,0,0,2060
190,0,1,0,3,0,0,0,0,0,1,1,1,0,0,2,1,0,1,0,3,2060
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
192,0,0,0,0,0,1,2,3,2,0,1,1,0,0,0,0,0,0,0,0,2060
193,0,2,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2060
194,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2060
195,1,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2060
196,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,2,1,0,0,2060
197,0,1,0,2,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,2,2060
198,0,0,0,3,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,2060
199,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2060
200,0,2,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2060
201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2060
202,0,0,0,2,1,1,0,0,0,2,1,0,0,0,0,1,0,1,0,0,2060
203,2,0,0,2,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,2060
204,2,1,20,9,0,1,0,0,1,8,1,0,2,22,10,0,7,0,6,8,2060
205,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2060
206,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,6,0,0,0,2060
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
208,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2060
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
210,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2060
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
212,0,0,0,0,0,0,3,3,0,0,1,0,0,2,0,0,1,0,0,0,2060
213,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2060
214,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,2060
215,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2060
216,0,1,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,2060
217,0,0,0,3,0,1,0,0,0,0,1,0,7,0,0,0,0,1,0,0,2060
218,0,0,0,2,0,1,0,0,1,2,1,0,1,0,0,1,0,1,0,0,2060
219,0,0,0,0,0,0,0,6,5,0,0,0,1,3,0,0,0,0,0,0,2060
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
221,0,3,0,0,0,0,2,3,6,1,1,1,0,1,0,0,0,0,0,0,2060
222,0,0,0,2,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,2060
223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
224,0,0,0,1,1,4,0,0,0,0,1,0,3,0,0,0,0,3,0,0,2060
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
226,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2060
227,0,2,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,2060
228,4,1,20,3,0,1,0,0,4,1,0,0,0,9,12,3,0,1,6,3,2060
229,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2060
230,7,2,12,0,0,0,0,0,2,3,1,0,0,0,15,2,0,0,3,1,2060
231,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2060
232,0,1,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2060
233,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2060
234,0,2,0,3,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,2060
235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
236,0,0,0,4,1,1,0,0,0,0,2,0,6,1,0,0,1,1,0,0,2060
237,0,0,0,0,0,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,2060
238,2,1,10,3,0,1,0,0,1,2,1,0,0,4,5,0,1,1,6,2,2060
239,5,1,11,2,1,1,0,0,2,0,1,0,0,3,8,1,1,2,5,4,2060
240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2060
241,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2060
242,0,2,0,1,0,1,0,0,1,0,1,2,0,1,0,0,1,1,0,0,2060
243,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2060
244,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2060
245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
246,0,0,0,0,1,1,2,3,1,1,1,0,0,2,0,0,0,1,0,0,2060
247,0,0,0,0,0,1,2,3,3,0,0,0,2,0,0,0,0,2,0,0,2060
248,0,1,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,1,0,0,2060
249,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2060
250,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,2060
251,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,2,0,0,0,0,2060
252,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2060
253,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2060
254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
255,0,0,0,1,0,1,0,0,0,0,1,0,7,1,0,0,0,1,0,0,2060
256,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2060
257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2060
258,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,2060
259,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,2060
260,1,0,0,3,1,0,0,4,4,0,1,0,0,0,0,0,0,1,0,0,2060
261,0,0,0,7,0,1,0,0,0,1,1,0,9,0,0,0,0,0,0,0,2060
262,0,0,0,1,0,0,7,0,1,1,1,0,0,0,0,1,0,0,0,0,2060
263,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,2060
264,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,2060
265,0,0,0,1,0,1,2,5,0,1,0,0,1,0,0,0,0,0,0,0,2060
266,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2060
267,0,0,0,2,0,2,0,6,2,1,1,1,3,1,0,0,0,1,0,0,2060
268,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2060
269,0,7,0,1,2,1,0,0,1,3,1,0,0,0,1,0,1,0,0,0,2060
270,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2060
271,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2060
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
273,2,1,9,3,0,1,0,0,1,2,1,0,0,1,4,0,1,1,6,1,2060
274,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,5,0,1,0,0,2060
275,0,1,0,2,0,1,0,0,0,0,1,2,2,1,0,0,0,1,0,0,2060
276,0,2,0,2,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,2060
277,0,0,0,1,1,0,0,3,2,0,0,0,2,1,0,0,0,0,0,0,2060
278,0,0,0,2,0,1,0,0,0,0,0,0,3,2,0,0,0,1,0,0,2060
279,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2060
280,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2060
281,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2060
282,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2060
283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
284,0,1,0,0,0,1,3,2,4,0,1,1,0,1,0,1,0,2,0,0,2060
285,2,1,0,4,1,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,2060
286,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,2060
287,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2060
288,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,2060
289,1,2,0,2,0,0,1,4,3,2,0,0,1,0,0,0,0,0,0,0,2060
290,0,0,0,0,0,1,2,3,3,0,0,0,2,0,0,0,0,2,0,0,2060
291,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,0,2,2060
292,0,0,0,1,0,5,0,0,4,1,0,0,0,7,0,0,7,5,0,0,2060
293,0,0,0,1,1,3,0,2,0,1,1,0,0,0,0,0,1,1,0,0,2060
294,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2060
295,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,2060
296,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,2060
297,0,1,0,1,1,2,0,0,0,3,0,1,0,0,0,0,0,2,0,0,2060
298,5,1,11,4,1,1,0,0,2,0,1,0,0,0,8,1,1,2,5,4,2060
299,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2060
300,0,0,0,0,1,1,0,0,0,1,1,0,2,0,0,2,0,1,0,0,2060
301,0,4,0,2,1,0,0,0,1,1,1,0,0,0,7,3,2,0,0,1,2060
302,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2060
303,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2060
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
305,0,0,0,1,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2060
306,0,0,0,0,1,1,1,1,6,0,5,0,0,1,0,0,6,1,0,0,2060
