,amd,compatible,connexion,core,directx,disque,espace,geforce,ghz,go,hd,intel,internet,jeu,nvidia,processeur,radeon,requise,système,windows,category_code
21,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,2905
22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2905
24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
26,0,0,0,0,0,0,1,0,0,1,0,0,0,8,0,0,0,1,2,1,2905
27,0,0,1,0,0,6,6,3,0,6,0,0,1,6,0,3,0,1,4,2,2905
28,0,2,1,3,1,2,3,0,0,6,4,6,1,3,0,2,0,1,3,2,2905
29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
30,3,0,1,3,1,0,0,3,3,0,3,3,1,3,3,0,0,2,0,2,2905
31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
32,0,0,1,2,1,0,0,2,0,0,0,1,1,2,0,2,0,1,2,4,2905
33,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2905
34,4,2,1,2,0,2,0,3,0,0,1,2,1,3,3,2,2,2,2,8,2905
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2905
36,4,2,1,4,4,3,0,3,4,7,3,4,2,6,3,3,2,2,3,2,2905
37,0,1,1,3,1,0,2,3,3,0,3,3,4,5,3,2,0,2,5,2,2905
38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2905
39,0,0,1,1,0,0,0,1,0,0,1,2,3,5,1,0,1,1,0,0,2905
40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
41,4,0,3,2,0,0,2,2,2,4,2,2,1,2,2,2,2,2,2,0,2905
42,5,4,2,2,4,2,2,6,3,0,3,2,4,4,3,2,10,1,3,10,2905
43,0,0,1,0,2,0,0,0,2,0,0,0,1,3,0,0,0,2,0,1,2905
44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2905
45,0,0,0,2,0,0,0,0,1,2,0,2,0,2,0,2,0,1,1,1,2905
46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
48,0,2,1,0,2,1,1,0,0,1,0,0,1,3,0,0,0,2,1,1,2905
49,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2905
50,0,1,1,0,1,0,1,0,1,1,0,0,1,3,0,1,0,2,2,3,2905
51,4,0,1,2,2,0,0,2,2,0,2,2,1,6,2,2,2,2,3,0,2905
52,1,0,1,0,0,0,0,0,0,1,1,3,1,3,3,3,0,2,2,0,2905
53,0,4,1,2,2,0,0,2,2,2,2,0,1,9,2,2,2,1,2,10,2905
54,6,2,5,3,3,8,4,4,0,0,1,4,5,8,4,1,4,1,6,4,2905
55,4,0,1,2,0,0,0,3,0,0,0,2,1,7,0,0,3,1,0,4,2905
56,0,1,2,1,2,0,2,0,0,1,0,2,2,6,1,0,0,1,2,2,2905
57,0,3,0,0,2,0,1,0,1,2,0,0,0,6,0,1,0,1,1,1,2905
58,1,2,1,5,2,0,0,3,3,0,12,7,1,3,2,1,3,2,5,5,2905
59,4,4,1,2,2,2,7,2,2,3,2,2,1,7,2,2,2,2,2,10,2905
60,4,2,1,2,4,0,0,1,0,0,1,2,3,2,2,0,1,1,0,4,2905
61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
62,0,0,1,3,0,0,0,3,3,3,0,0,1,3,3,3,3,2,1,0,2905
63,1,0,1,1,4,0,0,2,0,0,2,0,3,4,2,2,2,2,2,2,2905
64,0,1,1,0,1,1,1,1,0,1,0,0,2,5,1,0,1,2,1,1,2905
65,2,3,1,2,6,0,0,2,4,5,2,2,1,5,0,0,2,1,0,7,2905
66,2,2,1,4,2,8,8,4,2,0,2,4,1,3,0,4,2,1,6,4,2905
67,8,8,1,4,6,6,2,4,6,0,0,4,1,3,4,4,2,1,4,14,2905
68,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2905
69,2,0,1,3,0,0,0,1,3,0,3,4,1,7,0,0,2,1,4,4,2905
70,0,2,1,2,2,0,0,2,2,1,2,0,1,4,2,1,2,1,2,4,2905
71,0,0,1,2,4,0,0,0,0,0,1,0,1,2,0,2,0,1,2,4,2905
72,6,2,1,1,2,5,3,3,2,7,1,4,1,6,4,3,2,1,3,8,2905
73,0,0,1,4,0,0,0,0,0,0,2,2,1,3,0,0,0,1,0,4,2905
74,2,2,1,0,0,0,0,2,0,0,0,2,1,2,0,0,2,1,0,2,2905
75,1,0,1,1,1,2,1,1,0,2,1,0,1,2,1,0,1,1,1,2,2905
76,2,0,3,2,0,4,2,2,3,6,2,4,3,4,1,2,2,1,2,5,2905
77,2,0,1,1,0,0,0,0,0,0,3,4,1,3,2,0,0,2,3,2,2905
78,0,2,1,0,2,0,0,0,0,0,0,2,1,2,0,0,0,1,0,4,2905
79,6,2,1,6,2,12,9,6,0,0,0,3,1,3,0,10,3,1,6,4,2905
80,1,2,4,1,4,0,2,1,2,5,1,0,5,2,1,2,1,1,2,4,2905
81,0,0,1,0,0,1,0,0,2,0,0,0,1,2,0,2,0,2,2,2,2905
82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
83,0,2,1,0,2,2,1,1,1,1,0,1,1,7,1,0,1,1,1,2,2905
84,6,0,1,0,1,0,0,2,2,0,1,4,1,3,2,0,2,0,1,3,2905
85,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
86,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2905
87,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,2,2905
88,3,2,2,2,2,0,3,2,0,5,1,2,2,3,1,3,2,2,2,6,2905
89,0,2,1,4,4,0,0,3,1,0,2,2,5,6,1,4,3,2,4,3,2905
90,0,4,1,0,3,1,1,0,1,1,0,0,1,4,0,1,0,2,7,1,2905
91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
92,4,0,1,2,4,0,2,2,2,4,1,2,1,3,2,2,2,2,3,6,2905
93,7,2,1,3,3,4,4,4,3,4,4,3,1,3,4,2,3,2,2,6,2905
94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
95,0,3,1,4,1,3,1,0,5,6,1,1,1,6,0,4,0,2,0,2,2905
96,3,2,1,2,2,1,0,1,4,0,2,2,1,5,0,0,1,2,1,5,2905
97,2,0,3,2,3,4,2,2,0,0,1,2,5,4,2,0,2,2,2,6,2905
98,0,2,1,2,1,2,2,1,0,4,0,2,1,6,0,2,0,2,2,2,2905
99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
100,0,1,4,1,0,0,0,3,1,3,4,3,4,6,3,5,2,2,4,3,2905
101,9,10,1,16,6,6,6,4,4,14,4,10,1,3,10,7,2,2,6,4,2905
102,0,2,1,0,1,0,0,0,1,0,0,0,1,3,0,2,0,1,2,2,2905
103,2,0,1,2,2,0,0,1,0,0,1,3,3,5,0,0,2,1,0,4,2905
104,0,0,1,2,4,0,0,2,0,0,0,2,3,3,2,0,0,1,0,4,2905
105,4,0,1,2,2,0,0,0,0,0,0,2,1,4,2,0,0,1,0,8,2905
106,2,2,1,2,2,0,0,2,2,0,2,2,3,3,0,0,2,1,0,4,2905
107,0,2,1,0,8,0,0,0,0,0,0,0,1,5,0,0,0,1,0,4,2905
108,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,0,2,1,1,2905
109,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
110,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
111,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2905
112,0,2,1,0,2,1,1,0,0,1,0,0,1,3,0,1,0,2,1,3,2905
113,1,2,2,2,2,0,1,2,2,6,2,1,2,6,2,0,2,1,2,4,2905
114,0,0,1,1,0,0,0,1,0,0,2,1,1,3,0,0,0,1,0,2,2905
115,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
116,0,1,0,1,1,0,1,1,1,2,1,0,0,5,1,1,1,1,1,4,2905
117,0,0,1,1,0,1,0,1,0,1,0,0,1,4,0,1,1,1,1,2,2905
118,1,2,1,1,1,2,0,2,0,0,2,2,3,7,2,2,2,3,0,5,2905
119,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2905
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
121,7,6,2,3,8,4,6,1,3,2,3,5,2,4,6,0,3,2,4,5,2905
122,4,0,1,1,1,0,0,3,0,1,3,2,1,3,2,0,2,2,2,7,2905
123,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
124,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2905
125,6,4,5,6,2,0,6,5,4,17,5,6,5,4,7,0,6,1,6,4,2905
126,2,0,1,0,2,4,2,2,0,4,0,0,1,4,0,2,0,1,2,4,2905
127,3,0,1,1,0,4,4,2,4,0,0,2,1,3,1,0,2,1,2,4,2905
128,0,2,1,1,2,1,1,1,1,2,2,2,1,4,1,0,1,2,1,1,2905
129,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,2905
130,1,0,2,2,1,2,1,0,2,0,0,0,2,3,1,1,0,1,1,2,2905
131,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
132,4,0,1,2,2,0,0,0,0,0,2,2,3,6,0,0,0,1,0,4,2905
133,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
134,0,0,1,1,0,1,0,0,1,2,0,1,1,3,0,1,0,2,1,1,2905
135,0,0,1,1,0,0,0,0,0,0,3,0,1,6,0,1,0,2,3,2,2905
136,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,2905
137,4,2,1,2,2,2,4,2,0,6,1,2,1,7,2,4,2,1,2,8,2905
138,2,0,1,2,0,0,0,2,4,0,1,2,1,3,0,0,2,1,0,4,2905
139,0,3,1,0,3,0,0,2,3,0,0,0,1,2,2,0,0,2,0,2,2905
140,0,1,1,1,2,0,0,1,1,0,0,0,1,5,0,0,1,1,1,2,2905
141,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
142,4,2,1,0,0,0,2,3,0,0,0,2,1,2,2,1,2,1,2,7,2905
143,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2905
144,0,1,1,0,1,0,0,0,1,1,0,0,1,3,0,1,0,1,1,4,2905
145,2,0,1,0,0,0,0,2,4,0,0,2,1,2,0,0,2,1,0,4,2905
146,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2905
147,0,2,1,2,4,4,4,2,0,1,0,2,1,2,2,0,0,1,2,4,2905
148,0,2,1,2,2,0,0,2,2,0,0,2,1,3,2,0,0,1,0,4,2905
149,3,0,1,2,1,4,4,2,2,0,2,2,1,3,2,2,2,2,4,3,2905
150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
151,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,2905
152,2,2,1,1,1,0,0,2,2,2,4,1,1,4,2,1,2,2,1,5,2905
153,3,3,1,2,2,1,1,1,1,3,1,2,1,2,2,1,1,2,1,1,2905
154,16,0,1,5,8,0,0,6,8,0,3,4,1,3,12,0,3,1,0,4,2905
155,4,0,1,0,0,0,2,2,0,2,1,2,1,5,2,2,2,1,4,4,2905
156,0,6,7,6,0,12,6,0,0,6,0,0,7,4,0,6,0,2,6,3,2905
157,0,0,1,0,0,5,5,0,0,0,0,0,1,9,0,0,0,1,4,4,2905
158,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2905
159,2,2,0,1,2,0,0,2,0,0,0,0,0,3,2,2,2,2,2,2,2905
160,3,3,2,2,2,0,0,1,4,2,2,3,1,4,1,0,1,3,1,5,2905
161,0,0,1,0,1,4,4,2,0,4,0,2,1,3,0,1,0,2,4,2,2905
162,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2905
163,0,0,1,2,2,0,0,2,0,0,0,2,2,5,0,0,0,1,0,6,2905
164,4,6,1,3,2,0,0,9,5,6,4,0,1,7,2,5,6,2,5,3,2905
165,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2905
166,4,2,1,2,0,2,0,3,0,0,1,2,1,3,3,2,2,2,2,8,2905
167,0,0,1,2,0,0,0,2,0,0,0,2,1,3,0,0,0,2,0,2,2905
168,0,0,0,0,2,0,0,0,2,4,0,0,0,2,0,0,0,1,0,2,2905
169,0,0,0,0,0,1,1,0,1,1,0,1,0,4,0,1,0,1,0,0,2905
170,0,2,3,2,2,2,2,2,0,4,0,2,5,4,2,0,0,1,2,4,2905
171,0,1,1,3,1,0,1,3,3,0,3,3,4,3,3,2,0,2,5,2,2905
172,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2905
173,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2905
174,0,2,1,1,2,2,1,2,1,4,0,2,1,4,1,3,2,1,1,5,2905
175,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2905
176,6,6,1,2,6,0,0,3,6,0,3,3,1,3,3,0,3,2,0,4,2905
177,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
178,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2905
179,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
180,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2905
181,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2905
182,0,2,1,0,2,0,0,0,2,0,0,0,1,3,0,2,0,1,2,10,2905
183,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
184,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
185,2,1,1,2,1,2,2,2,3,4,1,2,1,3,2,2,0,2,2,6,2905
186,0,0,1,0,0,0,0,0,0,2,0,0,1,3,0,1,0,2,0,1,2905
187,0,0,1,3,0,0,0,0,2,0,0,2,1,3,0,2,0,2,3,2,2905
188,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2905
189,2,0,1,4,1,3,3,3,3,6,1,3,1,4,3,3,2,2,5,2,2905
190,9,3,1,4,0,0,6,4,4,12,5,6,7,4,6,1,1,3,5,5,2905
191,8,8,1,4,6,6,2,4,6,0,0,4,1,2,4,4,2,1,4,14,2905
192,2,2,1,3,2,0,2,2,3,2,2,2,1,3,2,2,2,2,2,2,2905
193,2,0,1,1,1,3,3,5,3,6,2,2,1,4,5,1,3,1,3,2,2905
194,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2905
195,9,0,5,6,1,5,6,6,0,16,5,6,5,3,0,6,6,2,6,3,2905
196,0,6,1,0,1,4,3,0,0,0,0,0,1,2,0,0,0,1,3,2,2905
197,2,0,1,2,0,0,0,0,1,0,0,3,1,2,0,0,1,2,0,1,2905
198,1,1,1,3,0,0,0,2,0,3,3,6,1,4,4,2,3,2,2,1,2905
199,1,0,1,2,0,4,4,2,2,0,2,3,1,4,3,3,3,1,4,4,2905
200,0,0,2,0,0,0,0,0,0,0,2,4,2,4,4,3,0,2,2,0,2905
201,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2905
202,0,0,1,5,0,0,7,0,0,15,0,0,1,3,0,1,0,1,6,3,2905
203,2,3,1,0,3,0,2,1,2,2,0,2,1,6,0,2,1,1,2,6,2905
204,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,2905
205,6,3,3,2,3,2,2,0,0,3,7,2,3,7,4,2,0,1,4,8,2905
206,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2905
207,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
208,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
209,1,0,1,1,0,0,0,1,2,0,0,1,1,3,0,0,1,2,0,1,2905
210,1,3,1,1,3,1,1,1,1,3,1,1,1,4,1,0,1,1,0,5,2905
211,0,0,1,0,1,0,0,0,0,0,0,1,1,4,0,0,0,2,0,1,2905
212,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
213,0,1,1,1,2,0,0,1,1,0,0,1,1,4,1,0,0,1,0,2,2905
214,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
215,4,0,1,2,0,0,2,0,0,8,0,2,1,3,2,2,2,1,2,4,2905
216,7,0,1,2,2,0,0,3,4,0,1,2,3,2,3,0,3,1,0,6,2905
217,0,0,2,0,0,0,0,0,0,0,2,4,2,5,4,3,0,2,2,0,2905
218,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2905
219,0,2,1,0,2,1,1,0,0,1,0,0,1,2,0,1,0,2,1,3,2905
220,0,0,1,2,0,0,0,1,0,1,1,1,1,3,1,1,1,2,1,1,2905
221,1,2,2,3,5,0,2,2,1,8,2,1,2,5,2,0,2,1,2,6,2905
222,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2905
223,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
224,0,2,1,0,1,1,1,0,1,0,0,0,1,3,0,1,0,2,0,2,2905
225,4,2,3,4,4,2,0,2,4,7,2,2,3,2,1,2,2,2,2,2,2905
226,3,2,1,2,3,0,4,2,0,5,1,2,1,2,1,2,2,1,2,6,2905
227,4,6,3,2,6,0,0,2,4,0,2,2,3,3,2,2,2,3,4,18,2905
228,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
229,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
230,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,2905
231,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
232,1,0,1,0,0,0,1,1,1,2,0,2,1,8,1,1,1,2,1,3,2905
233,0,0,1,3,0,4,2,0,2,0,0,1,1,4,0,2,0,1,2,2,2905
234,1,1,1,1,1,0,0,1,1,0,1,0,1,4,0,0,1,2,0,1,2905
235,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,2905
236,2,1,1,3,0,2,0,3,0,0,6,3,1,5,3,0,3,2,3,3,2905
237,0,0,1,2,0,0,0,2,0,0,0,2,1,3,0,0,2,2,0,2,2905
238,2,0,3,2,0,4,4,2,4,6,0,2,3,14,0,4,2,3,4,4,2905
239,0,0,5,0,0,8,4,1,0,0,3,3,5,7,2,3,0,1,4,4,2905
240,0,0,0,0,2,2,2,0,0,2,0,0,0,2,0,2,0,1,2,2,2905
241,4,2,1,8,2,1,6,4,6,7,6,7,1,3,4,5,5,2,9,3,2905
242,0,4,0,2,2,0,0,2,2,2,0,0,0,3,0,2,0,1,2,8,2905
243,2,0,1,2,2,4,4,2,2,0,0,2,1,3,2,4,0,1,2,4,2905
244,0,2,1,0,2,0,0,1,1,0,0,1,1,2,2,0,1,2,2,2,2905
245,2,2,1,0,4,2,4,2,2,4,1,0,1,2,2,0,2,0,3,2,2905
246,2,2,0,0,1,1,0,1,2,1,1,1,0,3,1,1,1,1,6,4,2905
247,2,2,3,0,4,4,2,2,0,6,2,0,3,6,5,1,2,1,2,4,2905
248,2,0,3,2,3,2,2,2,0,0,1,3,3,2,2,1,2,3,2,4,2905
249,4,0,1,2,0,0,0,0,4,0,1,2,1,3,2,2,2,1,2,4,2905
250,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
251,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2905
252,0,0,1,2,2,0,0,0,1,0,2,1,1,3,0,0,1,2,0,0,2905
253,0,4,1,1,4,0,0,0,2,0,0,2,1,3,0,0,0,1,0,4,2905
254,1,2,1,2,0,0,0,0,1,0,1,1,1,3,0,0,0,2,2,2,2905
255,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2905
256,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
257,0,0,0,0,2,0,0,0,2,0,0,0,0,3,0,0,0,1,2,2,2905
258,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,2,1,2905
259,2,2,1,5,2,2,0,2,0,2,1,2,1,3,2,2,2,3,0,2,2905
260,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
261,1,4,1,4,2,0,0,4,0,0,7,3,1,6,0,0,4,1,0,4,2905
262,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2905
263,6,2,1,3,2,6,6,0,9,14,3,9,1,3,6,4,0,2,6,4,2905
264,0,0,0,0,0,1,1,0,1,1,0,0,0,3,0,0,0,0,0,0,2905
265,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2905
266,1,1,1,2,0,3,0,5,3,4,2,3,4,4,5,1,3,1,3,3,2905
267,0,0,1,0,0,1,1,0,0,1,1,1,1,2,0,1,0,1,1,2,2905
268,1,1,1,0,1,0,0,1,2,0,1,0,1,4,1,1,0,1,2,2,2905
269,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,2,0,5,2905
270,0,0,1,0,0,0,1,0,1,1,0,0,1,5,0,0,0,2,2,3,2905
271,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,1,0,1,2905
272,0,0,1,2,0,3,3,0,0,0,0,0,1,3,0,3,0,1,3,2,2905
273,0,2,1,1,2,1,1,1,1,2,0,1,1,3,1,0,1,2,2,2,2905
274,4,2,1,2,6,0,0,2,0,0,2,2,1,8,2,2,2,2,2,10,2905
275,7,0,1,6,0,0,6,6,4,15,6,6,1,6,4,6,6,1,6,4,2905
276,0,0,3,0,0,2,2,0,0,4,0,0,3,2,0,0,0,4,2,1,2905
277,0,4,1,0,0,0,0,0,0,1,3,0,1,3,0,0,0,2,0,2,2905
278,3,0,1,2,0,2,0,2,0,0,1,1,1,2,2,0,2,2,2,2,2905
279,0,0,1,0,0,1,2,1,0,2,0,0,1,3,1,1,0,1,1,2,2905
280,4,0,3,2,0,4,2,2,0,0,0,2,3,3,2,2,2,1,2,8,2905
281,2,1,2,2,3,0,0,2,2,4,2,0,2,5,5,1,2,3,2,2,2905
282,2,0,1,2,2,0,0,1,0,0,1,3,3,4,0,0,2,1,0,4,2905
283,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,2,2905
284,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2905
285,4,0,1,1,0,2,0,0,0,0,2,2,1,3,2,2,2,1,2,4,2905
286,0,0,1,0,0,6,3,3,0,0,0,0,1,3,0,2,0,1,4,2,2905
287,4,0,1,2,0,12,11,2,0,0,4,6,1,3,4,6,6,1,7,8,2905
288,0,2,1,0,2,1,1,0,0,1,0,0,1,4,0,0,0,2,0,1,2905
289,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2905
290,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2905
291,0,1,0,0,2,1,2,0,0,1,0,0,0,1,0,1,0,1,3,1,2905
292,1,0,1,0,4,0,0,1,2,0,0,1,2,3,1,0,1,1,0,3,2905
293,0,4,1,0,3,0,0,0,1,0,0,0,1,2,0,0,0,1,0,4,2905
294,0,1,1,0,1,0,0,0,1,0,0,0,1,3,0,0,0,2,0,2,2905
295,0,0,4,0,2,12,6,0,0,0,0,0,4,6,0,10,0,1,7,4,2905
296,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2905
297,0,0,1,4,2,2,4,3,4,8,1,5,1,9,1,4,1,2,5,3,2905
298,1,2,1,6,3,0,0,3,0,0,3,9,1,3,3,0,2,1,1,4,2905
299,1,1,1,0,0,2,2,0,0,0,0,1,1,4,1,0,1,1,1,3,2905
300,1,3,0,1,3,2,1,0,1,0,0,1,0,8,0,1,0,1,2,4,2905
301,4,2,1,2,4,0,0,0,0,0,1,2,3,3,2,2,0,1,0,8,2905
302,2,0,1,0,0,0,0,0,3,0,0,4,1,6,0,0,0,1,0,4,2905
303,0,0,1,1,0,0,0,0,2,0,2,2,1,3,2,0,2,1,2,4,2905
304,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
305,0,0,1,0,0,0,0,1,1,0,0,0,1,3,0,1,0,2,0,0,2905
306,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2905
