,bloc,cahier,carnet,couverture,design,excellente,facilement,format,haute,jaune,journal,lot,notes,pages,papier,recto,solide,stylo,texture,verso,category_code
56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2522
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
58,1,1,1,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2522
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
62,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2522
63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2522
64,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2522
65,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
66,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2522
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
70,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2522
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
72,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2522
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
78,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2522
79,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2522
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
81,1,1,2,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
84,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2522
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2522
87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2522
88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2522
89,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2522
90,2,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,2522
91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2522
92,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,1,2522
93,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2522
94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
95,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
96,1,2,1,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
97,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
98,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2522
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2522
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
104,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2522
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2522
107,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2522
108,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
109,1,5,1,2,0,0,0,0,1,0,1,0,1,1,5,0,0,0,1,0,2522
110,1,1,2,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
112,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,0,0,0,2522
113,1,2,1,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
115,1,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,2522
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
118,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2522
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2522
121,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2522
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
123,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2522
124,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2522
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
126,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
128,1,2,1,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
129,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2522
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
132,1,1,2,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
139,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,1,2522
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2522
141,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2522
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2522
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2522
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2522
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
152,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2522
155,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
156,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2522
157,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2522
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2522
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2522
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2522
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
165,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,1,2522
166,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2522
167,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2522
168,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2522
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
170,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2522
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
172,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2522
173,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2522
174,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
175,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,1,2522
176,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,2522
177,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2522
178,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
181,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,1,2522
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
184,1,1,2,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
185,1,1,2,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,2,1,2522
186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
187,1,1,2,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
188,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
189,1,1,2,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
190,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
191,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,1,2522
192,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
193,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2522
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
198,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2522
199,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
200,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2522
201,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,1,2522
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
203,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
204,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
205,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
206,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2522
207,1,1,2,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
208,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2522
209,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
210,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2522
211,1,1,2,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
214,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
215,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2522
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
217,1,1,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2522
221,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
223,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2522
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
225,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2522
226,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
229,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2522
230,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
231,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
232,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2522
233,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2522
234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2522
235,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
236,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2522
237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
238,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2522
239,1,1,1,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
242,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
243,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2522
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
245,1,1,1,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2522
248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
249,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
250,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2522
251,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
252,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
253,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
254,1,1,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,2522
255,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2522
258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
259,1,2,1,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
260,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2522
262,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2522
263,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2522
264,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2522
265,1,2,1,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
266,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
267,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
272,1,1,2,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
274,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2522
275,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
276,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2522
277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
279,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2522
281,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
282,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,1,2522
283,0,1,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2522
284,1,1,1,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
285,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2522
287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
288,1,1,1,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
289,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
291,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
292,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
293,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2522
294,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,1,2522
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
297,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2522
298,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2522
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2522
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
302,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2522
303,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
304,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
305,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
306,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2522
