,console,denuméro,game,intégré,jeu,jeux,lecteur,marque,mini,modèle,ouicommunication,ouiecran,poche,portable,pouces,rétro,tactile,tv,vidéo,écran,category_code
53,1,0,1,0,3,0,1,1,0,1,0,1,0,1,1,0,1,1,0,2,60
54,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,60
55,2,0,0,0,3,3,0,0,0,2,0,0,0,0,1,0,0,0,1,3,60
56,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,1,0,0,1,0,60
57,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,60
58,1,0,0,0,2,1,1,1,0,1,0,0,2,1,0,0,1,0,1,1,60
59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
60,1,0,0,5,1,2,4,0,0,0,0,0,0,1,0,0,0,0,2,1,60
61,1,0,0,0,3,0,0,1,2,1,0,1,0,1,1,1,1,1,0,2,60
62,3,1,7,0,1,1,0,1,0,1,0,1,0,2,1,0,1,1,2,2,60
63,1,0,1,0,2,2,1,1,0,1,0,1,1,0,1,0,1,0,1,1,60
64,5,0,9,1,3,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,60
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
66,2,1,0,0,2,1,0,1,2,1,1,0,0,3,0,1,1,0,0,2,60
67,2,1,0,1,1,2,0,1,1,1,0,1,0,0,0,1,1,1,0,1,60
68,1,0,1,1,2,1,0,1,0,1,1,0,0,2,1,0,0,0,1,1,60
69,1,0,0,1,1,2,0,1,1,1,0,1,0,0,0,1,1,0,1,1,60
70,1,0,1,1,2,1,1,1,1,1,0,1,0,2,0,1,1,1,1,1,60
71,1,1,1,1,2,1,0,1,1,1,1,0,1,0,1,1,1,0,0,2,60
72,0,0,0,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,60
73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60
75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
76,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,60
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
78,2,0,2,1,3,1,1,1,1,1,0,1,0,0,0,1,1,2,1,0,60
79,1,0,0,0,0,1,0,1,1,1,0,0,0,2,0,0,0,1,0,0,60
80,1,0,0,0,2,1,1,1,0,1,0,1,0,2,1,0,1,0,0,1,60
81,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,2,60
82,1,0,0,1,3,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,60
83,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60
84,1,0,0,0,2,1,1,1,1,1,0,1,2,1,1,1,1,1,0,1,60
85,1,1,1,1,2,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,60
86,1,0,0,0,3,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,60
87,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,60
88,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,60
89,1,0,0,0,2,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,60
90,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,60
91,2,0,1,0,3,2,1,1,0,1,1,0,0,1,0,1,1,2,1,1,60
92,1,0,0,0,1,0,1,1,1,0,0,1,0,2,0,1,1,0,1,0,60
93,1,1,1,0,1,2,0,1,0,1,0,0,1,0,0,1,1,0,1,1,60
94,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,60
95,1,0,0,1,1,2,1,1,1,1,0,0,0,1,0,1,1,2,1,1,60
96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
97,1,0,0,0,4,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,60
98,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
99,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,2,60
100,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,60
101,2,1,4,0,2,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,60
102,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,60
103,1,0,1,0,1,2,0,1,1,1,0,0,0,0,0,0,1,0,1,1,60
104,2,0,0,1,3,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,60
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
106,1,0,0,0,0,4,0,1,1,1,0,1,0,1,0,1,1,0,1,1,60
107,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
108,2,1,1,0,2,1,0,1,1,1,1,0,0,0,1,1,1,0,1,2,60
109,1,0,2,1,3,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,60
110,1,1,2,1,2,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,60
111,0,1,1,0,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,60
112,2,0,0,1,1,2,1,1,2,1,0,1,0,0,0,1,1,2,0,1,60
113,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
114,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,60
115,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,60
116,2,0,0,0,3,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,60
117,1,0,0,0,1,2,0,1,0,1,0,1,0,1,0,0,1,1,1,1,60
118,3,0,2,0,3,0,1,1,1,1,0,1,0,2,0,0,1,0,2,1,60
119,3,0,0,0,2,1,0,1,0,1,0,1,0,2,0,0,1,0,1,1,60
120,0,0,0,0,1,1,2,1,0,1,0,1,0,1,0,0,1,0,2,1,60
121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
122,0,0,0,0,2,0,2,1,1,1,0,1,1,1,0,0,1,0,1,2,60
123,1,0,1,1,2,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,60
124,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,3,1,1,60
125,6,0,7,0,1,2,0,1,2,1,0,1,0,0,0,1,1,3,1,1,60
126,1,1,0,0,2,0,0,1,1,1,1,1,0,0,1,0,1,0,2,1,60
127,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
130,2,0,1,1,2,1,1,1,1,1,0,1,2,1,0,2,1,0,1,1,60
131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
132,2,0,2,0,2,1,2,1,0,1,0,1,0,2,1,0,1,0,0,2,60
133,1,1,1,1,2,1,1,1,2,1,1,1,1,0,0,1,1,1,0,0,60
134,1,0,1,0,2,1,0,1,0,1,0,1,0,2,0,0,1,0,1,1,60
135,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,60
136,1,0,1,1,3,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,60
137,1,1,1,0,2,0,0,1,2,1,1,0,1,0,1,1,1,1,1,2,60
138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
139,0,1,2,0,2,1,1,1,0,1,0,1,0,3,1,1,1,2,0,1,60
140,1,0,1,0,2,2,0,1,2,1,0,1,1,1,0,1,1,0,0,1,60
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
142,1,0,0,0,2,2,1,1,0,1,0,1,0,1,0,1,1,0,0,1,60
143,2,0,0,0,2,0,0,1,1,1,0,1,0,3,1,1,1,0,1,1,60
144,1,0,0,1,2,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,60
145,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
146,1,0,0,1,2,1,2,1,1,1,0,1,2,0,0,1,1,0,1,1,60
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
148,2,1,1,1,3,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,60
149,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,60
150,1,0,2,0,2,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,60
151,2,0,2,0,1,1,0,1,1,1,1,0,0,1,1,2,1,0,0,1,60
152,1,1,0,1,2,1,1,1,1,1,1,0,1,2,1,1,1,0,0,1,60
153,2,0,0,1,2,1,0,1,0,1,0,1,0,2,1,1,1,0,0,2,60
154,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
155,2,0,2,1,2,1,2,1,2,1,0,1,2,0,0,1,1,0,1,1,60
156,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60
157,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,60
158,4,1,6,0,3,0,1,1,0,1,1,0,1,2,1,0,1,1,2,1,60
159,0,0,0,2,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,60
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
161,1,0,0,1,3,1,0,1,1,1,0,1,2,0,0,1,1,0,0,1,60
162,1,0,1,1,2,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,60
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
164,2,0,1,0,2,0,0,1,1,1,0,1,0,1,1,1,1,1,1,2,60
165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
166,2,1,0,0,1,1,0,1,1,1,1,0,0,4,1,1,1,0,0,1,60
167,2,0,1,0,2,2,0,1,1,0,0,1,0,1,0,1,1,1,1,0,60
168,4,0,2,2,2,4,0,0,2,0,0,0,0,0,0,0,0,2,1,0,60
169,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,2,60
170,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,2,60
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
172,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,2,60
173,1,0,1,1,1,2,0,1,2,1,0,1,0,1,0,1,1,0,0,1,60
174,1,0,0,0,1,2,0,1,1,0,0,1,0,0,0,1,1,1,0,1,60
175,1,0,1,1,1,2,0,1,1,1,0,1,1,1,1,1,1,0,0,1,60
176,0,1,5,0,2,2,0,1,0,1,0,1,0,3,0,0,1,1,1,1,60
177,1,1,0,0,2,1,1,1,0,1,1,0,0,2,1,1,1,0,1,2,60
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
179,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
180,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
181,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,60
182,2,1,0,1,2,1,0,1,1,1,1,0,0,1,0,1,1,2,1,1,60
183,2,0,1,0,3,0,0,1,0,0,1,0,1,0,0,0,1,0,0,2,60
184,3,1,0,1,3,1,0,1,1,1,1,0,0,2,0,1,1,0,0,1,60
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
186,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
189,2,1,0,1,3,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,60
190,1,1,0,1,2,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,60
191,1,0,0,1,3,1,1,1,1,1,0,1,1,0,0,1,1,2,1,1,60
192,2,1,9,1,2,0,1,1,2,1,1,0,0,2,1,1,1,1,1,2,60
193,0,1,1,0,2,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,60
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
195,1,1,1,0,3,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,60
196,1,0,0,1,2,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,60
197,1,1,1,0,2,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,60
198,2,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,60
199,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,60
200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
201,6,1,11,1,2,1,1,1,1,1,0,1,0,1,0,1,1,2,1,1,60
202,1,0,0,1,2,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,60
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
206,2,0,0,1,2,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,60
207,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
209,1,0,0,1,2,1,1,1,1,1,0,1,0,2,1,1,1,0,0,1,60
210,0,1,1,0,0,3,1,1,0,1,0,1,0,1,0,0,1,0,0,1,60
211,1,0,2,0,2,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,60
212,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,60
213,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60
214,1,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,60
215,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,60
216,5,0,5,0,2,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,60
217,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,2,60
218,0,1,0,0,1,2,0,1,0,1,1,0,0,2,0,2,1,0,1,1,60
219,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,2,0,0,2,60
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
221,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2,60
222,4,1,5,0,2,2,1,1,1,1,1,0,1,1,1,1,1,0,1,1,60
223,3,0,1,0,3,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,60
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
225,0,0,0,0,1,1,0,1,0,1,0,0,2,0,0,0,1,0,0,2,60
226,1,0,0,0,3,1,0,1,0,1,0,1,0,2,0,0,1,0,1,2,60
227,0,1,1,0,4,0,0,1,0,1,1,0,1,0,1,0,1,0,0,2,60
228,3,0,0,0,3,1,0,1,0,1,1,0,2,0,0,0,0,1,0,1,60
229,2,0,0,0,0,1,0,1,2,1,0,0,0,0,0,1,1,0,0,1,60
230,5,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60
231,1,0,0,1,3,0,1,1,0,1,0,1,0,2,1,0,1,0,2,0,60
232,0,0,0,1,1,2,0,1,1,0,0,1,0,2,0,0,1,0,1,2,60
233,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,60
234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
235,1,1,0,0,3,0,0,1,2,1,1,0,0,1,1,1,1,1,0,2,60
236,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60
237,0,1,1,0,0,3,1,1,0,1,1,0,0,1,0,0,1,0,0,1,60
238,1,0,0,0,2,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,60
239,2,1,1,1,2,1,0,1,2,1,1,0,1,0,1,1,1,1,0,1,60
240,2,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,60
241,1,0,0,0,1,2,0,1,1,1,0,1,0,0,0,0,1,0,1,1,60
242,2,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,60
243,2,0,0,1,2,1,1,1,1,1,0,1,2,0,0,1,1,2,1,1,60
244,1,1,1,1,3,0,0,1,0,1,1,0,0,2,1,0,1,0,0,2,60
245,1,1,2,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,60
246,1,0,0,0,2,1,1,1,0,1,0,0,0,2,2,0,1,0,0,1,60
247,0,0,0,1,2,0,0,1,2,1,0,1,0,0,0,1,1,0,0,1,60
248,0,0,1,0,0,2,0,1,1,1,0,0,0,0,0,1,1,0,0,1,60
249,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,60
250,1,1,1,0,1,2,0,1,1,1,1,0,0,1,1,1,1,0,1,1,60
251,1,1,1,1,2,0,1,1,1,1,1,0,0,2,1,1,1,0,0,1,60
252,2,0,1,1,3,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,60
253,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,60
254,0,0,1,0,0,0,0,1,0,1,0,1,0,3,1,0,1,0,1,0,60
255,1,1,2,0,2,0,1,1,0,1,1,0,0,2,1,0,1,0,1,1,60
256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
257,1,0,0,1,2,0,1,1,1,1,0,1,0,1,0,1,1,3,1,1,60
258,2,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,60
259,1,0,1,1,2,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,60
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
261,1,1,0,0,2,2,1,1,0,1,0,1,0,1,0,0,1,2,1,1,60
262,1,0,1,1,1,2,1,1,1,1,0,1,0,1,0,1,1,2,1,1,60
263,0,0,1,0,0,0,0,1,0,1,0,1,0,2,1,0,1,0,1,1,60
264,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,60
265,1,0,0,1,2,1,0,1,1,1,0,1,0,2,1,2,1,0,0,1,60
266,1,0,0,1,2,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,60
267,2,0,0,0,3,0,1,1,1,0,0,0,2,1,0,0,1,0,1,0,60
268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
269,1,0,0,0,2,1,0,1,0,1,0,1,2,1,1,0,1,0,0,1,60
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
272,1,1,0,0,2,0,1,1,0,1,1,0,0,1,1,0,1,1,0,2,60
273,1,0,2,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,60
274,1,0,0,1,2,2,0,1,0,0,0,0,1,1,1,0,0,0,2,0,60
275,1,0,0,0,2,1,0,1,2,1,0,1,1,0,0,2,1,0,1,1,60
276,1,0,0,1,2,1,2,1,1,1,0,1,0,3,0,0,1,0,1,1,60
277,1,1,0,1,2,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,60
278,1,0,0,0,2,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,60
279,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,3,60
280,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,60
281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
282,1,0,0,0,2,1,1,1,1,1,0,1,0,1,0,1,1,2,1,1,60
283,1,1,1,1,2,1,1,1,1,1,1,0,0,0,1,1,1,1,0,2,60
284,6,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,60
285,2,1,0,0,2,1,0,1,0,1,1,0,1,0,0,0,1,0,1,2,60
286,0,1,1,0,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,60
287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
290,2,1,2,1,3,1,1,1,2,1,0,1,1,1,0,1,1,0,1,0,60
291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
292,2,1,3,1,3,1,0,1,1,1,1,0,0,3,1,2,1,1,1,1,60
293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
294,2,0,0,1,2,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,60
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
296,1,1,0,1,2,1,0,1,1,1,1,0,1,1,1,1,1,2,1,1,60
297,1,1,0,1,2,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,60
298,1,1,1,1,2,1,0,1,0,1,1,0,0,2,1,0,1,0,1,1,60
299,2,0,0,0,1,3,1,1,0,1,0,1,1,1,1,2,1,0,1,1,60
300,1,0,0,1,1,1,1,1,2,1,0,0,0,1,0,1,1,2,1,1,60
301,3,1,0,0,4,0,0,1,0,1,1,0,0,2,0,0,1,0,1,1,60
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
303,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
304,1,1,0,0,2,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,60
305,1,0,1,0,2,2,1,1,0,1,0,1,1,0,1,0,1,0,1,1,60
306,1,0,1,1,2,1,1,1,2,1,0,1,0,0,0,0,1,3,2,1,60
307,3,1,3,0,4,2,0,1,0,1,1,0,1,0,1,1,1,0,1,1,60
308,1,1,0,0,2,0,0,1,1,1,1,1,0,0,1,0,1,0,2,1,60
309,1,0,0,0,3,0,0,1,2,0,1,0,0,1,1,1,1,1,0,2,60
310,1,0,0,1,2,1,2,1,1,1,0,1,2,0,0,0,1,0,1,1,60
311,1,0,0,1,1,1,1,1,1,1,0,1,0,2,1,1,1,0,0,1,60
312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
313,1,0,0,1,2,1,1,1,1,1,0,1,0,1,1,0,1,2,1,2,60
