,air,auto,bébé,eau,enfant,enfants,lit,main,matériel,mode,mso,poussette,roues,réglable,sac,siège,style,sécurité,type,voyage,category_code
40,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1320
41,0,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1320
42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1320
43,0,0,0,0,0,0,0,1,0,3,0,0,0,0,7,0,3,0,2,1,1320
44,1,0,0,0,0,0,0,2,2,3,0,0,0,0,11,0,3,0,1,4,1320
45,1,0,0,0,0,0,0,0,1,2,0,0,0,0,7,0,2,0,1,4,1320
46,0,0,2,0,0,0,0,1,0,1,0,1,0,0,5,0,0,0,0,0,1320
47,0,0,1,5,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1320
48,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1320
49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
50,6,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1320
51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
52,0,6,1,0,0,0,0,1,0,0,0,13,15,10,2,6,0,8,0,0,1320
53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
54,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1320
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1320
57,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1320
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
60,0,0,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1320
61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
64,0,0,3,0,0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1320
65,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1320
66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1320
67,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1320
68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
72,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1320
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
74,0,6,1,0,0,0,0,1,0,0,0,14,16,10,2,6,0,8,0,0,1320
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
76,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1320
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
78,0,0,4,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1320
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
81,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1320
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
84,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1320
85,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
86,2,5,1,0,0,0,0,1,2,0,0,12,14,7,1,5,0,7,0,0,1320
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
89,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1320
90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
91,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1320
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
93,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1320
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
96,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1320
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
101,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
102,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1320
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1320
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1320
107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1320
108,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1320
109,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1320
110,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1320
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
112,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
113,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
115,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1320
116,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1320
117,0,6,1,0,0,0,0,1,0,0,0,15,15,10,2,6,0,8,0,0,1320
118,0,0,4,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1320
119,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1320
121,0,0,0,0,0,0,0,1,1,4,0,0,0,0,6,0,3,0,2,1,1320
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1320
125,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1320
126,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1320
127,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
131,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1320
132,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1320
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
136,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1320
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
138,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1320
139,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
141,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
143,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,0,2,0,1,4,1320
144,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1320
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1320
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
149,0,0,2,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1320
150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1320
151,0,0,3,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,1,0,1320
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
154,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
156,1,0,0,0,0,0,0,4,1,3,0,0,0,0,8,0,2,0,1,2,1320
157,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
158,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,1320
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
160,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1320
161,2,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,1320
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
163,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1320
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1320
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
167,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
168,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1320
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1320
170,1,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,2,0,1,4,1320
171,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1320
172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
173,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
175,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1320
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1320
177,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,2,0,0,0,0,1320
178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
179,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
180,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
182,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1320
183,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1320
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
185,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,0,3,0,2,1,1320
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
187,0,0,0,0,0,0,0,3,1,3,0,0,0,0,8,0,3,0,2,1,1320
188,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
190,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1320
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
192,0,0,0,0,0,0,0,2,0,3,54,0,0,0,9,0,15,0,2,1,1320
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1320
194,0,6,1,0,0,0,0,1,0,0,0,13,15,10,2,6,0,8,0,0,1320
195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1320
196,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1320
197,0,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1320
198,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1320
199,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
200,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1320
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
202,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
203,1,0,0,0,0,0,0,1,1,3,0,0,0,0,10,0,2,0,1,3,1320
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
206,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
209,0,6,1,0,0,0,0,1,0,0,0,15,15,10,2,6,0,8,0,0,1320
210,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1320
211,5,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1320
212,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1320
213,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
215,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1320
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
218,0,0,2,1,1,1,0,0,1,0,0,0,0,1,0,2,0,3,1,0,1320
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
222,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
223,1,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,2,0,1,2,1320
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1320
227,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
231,0,0,0,0,0,0,0,1,1,4,0,0,0,0,7,0,3,0,2,1,1320
232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
235,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1320
236,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
237,0,0,0,0,0,0,0,1,1,3,0,0,0,0,7,0,2,0,2,1,1320
238,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
240,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1320
241,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1320
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
243,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
244,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
245,0,1,0,0,0,0,0,0,1,0,0,3,0,0,4,0,0,0,0,0,1320
246,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1320
247,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
248,0,0,2,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1320
249,0,6,1,0,0,0,0,1,0,0,0,13,15,10,2,6,0,8,0,0,1320
250,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1320
251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
252,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
254,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
256,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
257,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
259,0,0,2,0,4,0,0,0,0,0,0,3,1,1,2,0,0,3,0,0,1320
260,0,6,1,0,0,0,0,1,0,0,0,14,15,10,2,6,0,8,0,0,1320
261,1,0,0,0,0,0,0,1,1,2,0,0,0,0,5,0,2,0,1,3,1320
262,0,0,0,0,0,0,0,2,1,2,0,0,0,0,8,0,1,0,2,1,1320
263,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
265,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1320
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
267,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
268,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
270,3,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1320
271,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
272,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
273,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
275,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1320
276,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1320
277,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1320
278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
279,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
280,1,0,0,0,0,0,0,1,0,2,0,0,0,0,9,0,2,0,1,4,1320
281,0,0,2,0,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1320
282,1,0,1,0,2,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1320
283,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
285,1,5,1,0,0,0,0,0,0,0,0,7,6,6,1,3,0,7,0,0,1320
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
287,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1320
288,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,0,2,0,2,1,1320
289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1320
290,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
292,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
293,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1320
294,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
295,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1320
297,0,0,0,0,5,10,0,3,0,0,0,0,0,0,0,0,0,3,0,1,1320
298,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
299,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1320
300,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
302,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
303,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
306,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1320
307,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1320
