,canapé,coton,coussin,couverture,décoration,eau,haute,home,housse,lin,matériel,mesure,oreiller,pc,plaît,polyester,qualité,raison,style,taie,category_code
97,1,0,0,0,1,0,0,0,0,1,2,2,11,1,1,0,0,0,3,6,1920
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
99,1,0,2,0,1,0,1,1,0,1,0,1,5,1,2,0,1,0,0,2,1920
100,2,0,2,0,1,2,1,2,0,0,2,0,4,0,1,3,1,2,0,5,1920
101,1,1,4,0,1,2,0,2,1,2,1,1,2,0,1,0,0,3,1,4,1920
102,0,0,1,0,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1920
103,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1920
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
105,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1920
106,3,0,2,0,0,0,0,1,0,1,1,1,4,1,2,0,0,0,0,4,1920
107,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,1920
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1920
109,0,1,2,0,0,2,0,2,0,3,1,0,4,1,0,0,0,1,1,1,1920
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
111,2,0,2,1,2,0,0,1,0,1,1,0,3,0,0,0,0,1,0,2,1920
112,2,0,2,1,1,0,1,1,0,1,0,1,3,1,2,0,0,0,0,2,1920
113,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1920
114,2,0,2,0,0,2,0,2,0,0,1,0,1,1,1,3,0,0,0,3,1920
115,0,3,2,0,0,2,0,2,1,3,1,0,3,1,0,0,0,1,1,2,1920
116,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1920
117,0,2,3,2,1,0,0,2,0,3,1,1,6,1,2,0,0,0,0,7,1920
118,1,0,2,0,0,0,1,2,0,1,0,1,3,1,2,0,1,0,0,2,1920
119,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1920
120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
121,1,0,2,0,3,0,1,0,0,1,2,2,7,1,1,0,1,0,3,3,1920
122,1,0,2,0,0,0,1,2,0,1,0,1,4,1,2,0,1,0,0,3,1920
123,2,0,2,1,0,0,1,2,0,1,0,1,4,1,2,0,1,0,0,4,1920
124,2,2,2,0,1,0,1,2,0,3,2,2,3,1,1,0,1,0,3,2,1920
125,2,2,3,1,2,0,0,0,0,4,2,6,10,4,3,0,0,0,5,5,1920
126,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,2,1920
127,3,0,3,1,0,0,1,2,3,1,0,1,3,1,2,0,1,0,0,2,1920
128,1,0,2,0,1,0,1,2,0,1,2,2,3,0,1,0,1,0,3,0,1920
129,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1920
130,2,1,4,1,0,0,1,0,0,1,1,1,2,0,2,0,1,0,0,2,1920
131,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,1920
132,2,0,3,1,0,0,0,2,0,1,0,1,3,1,2,0,0,0,0,3,1920
133,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1920
134,2,0,2,1,0,2,0,1,0,1,1,0,2,1,0,0,0,1,1,1,1920
135,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,2,0,0,0,1920
136,1,0,3,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,4,1920
137,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1920
138,1,0,2,0,1,0,1,0,0,1,2,2,3,1,1,0,1,0,3,3,1920
139,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1920
140,0,0,2,0,0,2,0,0,0,0,0,0,2,1,1,1,0,0,0,2,1920
141,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1920
142,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1920
143,1,0,1,0,1,0,1,0,1,1,0,1,2,1,2,0,1,0,0,1,1920
144,1,3,6,0,0,0,4,0,0,0,1,0,1,1,0,0,4,0,0,0,1920
145,2,3,2,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,3,1920
146,0,1,4,0,0,2,0,0,2,1,1,1,1,0,1,0,0,3,1,3,1920
147,2,0,2,2,1,1,0,0,0,1,1,2,7,1,1,0,0,0,0,2,1920
148,1,0,1,0,1,0,0,0,0,1,2,2,10,1,1,0,0,0,3,6,1920
149,2,1,6,0,1,2,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1920
150,0,0,3,0,0,0,1,2,0,0,2,1,1,1,2,1,1,0,0,2,1920
151,0,0,2,0,0,0,1,0,2,1,0,1,3,1,2,0,1,0,0,3,1920
152,0,0,3,2,1,1,1,0,0,0,1,0,2,0,0,3,1,2,0,2,1920
153,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
154,0,1,2,0,2,2,1,0,0,1,0,1,4,1,2,0,1,0,0,2,1920
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1920
157,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,1920
158,0,0,2,0,0,2,0,2,0,0,1,0,4,1,1,1,0,0,0,4,1920
159,2,0,4,0,0,0,1,0,2,0,1,1,0,1,2,0,1,0,0,2,1920
160,1,0,0,0,1,0,0,0,0,1,2,2,11,1,1,0,0,0,3,6,1920
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1920
162,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1920
163,3,0,2,2,2,0,1,0,0,1,0,1,3,1,2,0,1,0,0,3,1920
164,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1920
165,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1920
166,0,2,2,0,0,0,1,2,2,1,1,1,3,0,2,0,1,0,0,4,1920
167,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1920
168,2,3,2,0,1,0,1,1,0,3,1,1,4,1,2,0,1,0,1,2,1920
169,0,6,0,0,0,2,0,0,9,0,0,0,2,0,0,0,1,0,0,4,1920
170,1,1,3,2,0,0,1,3,0,1,0,0,2,0,0,0,1,0,0,5,1920
171,2,0,2,0,0,2,0,2,0,0,1,0,1,0,1,3,0,0,0,3,1920
172,2,0,5,0,0,0,1,2,0,0,1,1,3,1,2,0,1,0,0,2,1920
173,3,0,4,2,1,0,1,0,0,1,2,2,5,1,1,0,1,0,3,2,1920
174,0,1,3,0,2,2,0,0,2,1,1,1,2,0,1,0,0,3,3,3,1920
175,0,0,2,0,2,0,1,2,0,0,2,0,6,0,1,1,1,2,1,4,1920
176,2,0,2,0,0,0,1,2,0,3,0,0,1,0,0,0,0,0,0,3,1920
177,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1920
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1920
179,3,1,2,2,0,0,1,2,0,0,1,1,4,1,2,0,1,0,0,3,1920
180,2,0,4,1,2,0,0,1,0,2,2,6,11,0,3,0,0,0,3,6,1920
181,2,0,2,0,0,0,1,2,0,1,0,1,3,1,2,0,1,0,0,2,1920
182,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1920
183,2,0,6,3,1,0,2,2,2,1,2,0,2,0,0,0,2,0,0,3,1920
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1920
185,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1920
186,1,0,2,1,2,0,1,1,0,0,0,1,1,1,2,1,1,0,0,3,1920
187,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1920
188,4,0,2,1,2,0,0,2,1,2,2,6,11,4,3,0,0,0,3,7,1920
189,2,0,3,3,1,0,0,0,1,1,1,0,8,1,0,0,1,0,0,6,1920
190,2,0,3,0,1,0,1,2,0,0,2,0,5,0,1,1,1,2,0,1,1920
191,1,0,6,0,0,0,1,2,2,2,0,1,1,1,2,0,1,0,0,1,1920
192,0,3,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,3,1920
193,1,0,0,1,0,9,10,0,0,0,3,5,0,0,5,3,7,0,0,0,1920
194,0,3,4,2,1,2,0,2,0,1,1,1,3,0,1,0,0,3,1,2,1920
195,2,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1920
196,0,0,2,0,1,0,1,2,0,0,2,0,7,0,1,1,1,2,0,5,1920
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
198,0,1,5,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1920
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
200,1,0,2,0,1,0,1,1,0,1,0,1,4,1,2,0,1,0,0,1,1920
201,1,0,1,0,0,0,1,1,0,0,0,1,1,1,2,1,1,0,0,2,1920
202,1,0,2,0,0,2,0,2,0,0,1,0,4,1,0,0,0,1,1,1,1920
203,1,1,2,0,0,2,0,2,0,0,1,0,6,0,0,0,0,1,1,1,1920
204,0,0,5,1,2,0,1,0,2,0,1,0,3,0,1,0,1,0,1,2,1920
205,2,0,2,2,2,0,1,0,0,1,0,1,3,1,2,0,1,0,0,3,1920
206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
207,1,0,0,1,1,1,4,0,0,0,1,3,0,0,3,1,3,0,0,0,1920
208,1,0,0,0,1,0,0,0,0,1,2,2,12,1,1,0,0,0,3,7,1920
209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
210,1,0,2,0,0,0,1,2,0,3,0,1,3,1,2,0,1,0,0,3,1920
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1920
212,0,2,7,0,0,0,1,0,4,0,1,0,0,0,0,2,1,0,0,1,1920
213,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1920
214,2,0,2,0,0,2,0,2,0,0,1,0,1,1,1,3,0,0,0,3,1920
215,3,0,4,2,0,0,1,2,0,2,0,1,2,1,2,0,1,0,0,2,1920
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
217,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,2,0,1,0,1920
218,0,0,0,0,1,1,2,0,0,0,1,0,0,1,0,0,2,0,1,0,1920
219,3,0,2,1,2,0,0,0,0,1,0,1,2,1,2,0,0,0,1,2,1920
220,2,0,3,0,1,0,1,2,0,0,2,0,5,0,1,3,1,2,0,3,1920
221,0,0,3,0,1,0,0,2,0,1,0,1,7,1,2,0,0,0,0,4,1920
222,1,0,0,0,1,0,0,0,0,1,2,2,11,1,1,0,0,0,3,6,1920
223,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1920
224,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1920
225,1,0,0,0,0,0,0,0,0,0,1,1,11,1,0,0,0,0,3,5,1920
226,1,0,2,0,0,0,1,2,0,3,0,1,3,1,2,0,1,0,0,2,1920
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
228,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1920
229,2,0,2,1,2,0,1,0,0,1,1,1,3,1,2,0,1,0,0,2,1920
230,0,0,5,0,0,0,2,0,1,0,0,0,0,0,0,2,3,0,0,0,1920
231,2,1,5,0,1,2,0,0,0,1,1,1,3,0,1,0,0,3,1,2,1920
232,1,0,0,0,1,0,0,0,0,1,2,2,12,1,1,0,0,0,3,7,1920
233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
234,3,2,2,1,0,0,1,2,0,2,0,1,4,1,2,0,1,0,2,5,1920
235,1,0,0,0,1,0,0,0,0,1,2,2,12,1,1,0,0,0,3,7,1920
236,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1920
237,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1920
238,2,2,3,0,0,2,0,2,0,0,1,1,2,0,1,0,0,3,1,3,1920
239,0,5,0,0,0,10,0,0,0,0,0,5,7,0,5,0,1,5,3,10,1920
240,1,0,2,0,1,0,1,0,0,1,2,2,5,1,1,0,1,0,3,3,1920
241,1,0,4,3,2,1,1,0,0,0,0,1,2,0,1,1,1,1,0,2,1920
242,2,0,2,0,2,0,1,2,0,0,2,0,4,0,1,3,1,2,1,5,1920
243,2,0,3,0,2,1,1,0,0,0,1,0,11,0,3,1,1,4,0,7,1920
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1920
245,2,0,3,0,1,1,1,0,0,0,1,0,8,0,3,0,1,4,2,8,1920
246,1,1,4,0,0,0,1,0,0,0,1,1,2,1,2,0,1,0,0,2,1920
247,2,0,2,0,0,2,0,2,0,0,1,0,1,1,1,3,0,0,0,3,1920
248,2,3,2,0,0,2,0,2,0,1,1,1,4,0,1,0,0,3,1,1,1920
249,0,1,3,1,0,2,0,0,0,1,1,1,3,0,1,0,0,3,1,3,1920
250,2,0,2,0,0,1,0,2,0,1,0,0,4,1,2,0,0,1,1,4,1920
251,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1920
252,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1920
253,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1920
254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
255,1,0,5,0,0,0,1,2,1,1,0,1,2,1,2,0,1,0,0,1,1920
256,1,0,2,0,0,0,1,2,0,3,0,1,3,1,2,0,1,0,0,2,1920
257,0,2,7,0,0,0,1,0,4,0,1,0,0,0,0,2,1,0,0,1,1920
258,1,0,2,0,1,0,1,0,1,1,2,2,3,1,1,0,1,0,5,3,1920
259,0,2,7,0,0,0,1,0,4,0,1,0,0,0,0,2,1,0,0,0,1920
260,3,0,3,0,1,0,1,0,0,1,2,2,5,1,1,0,1,0,3,1,1920
261,2,0,4,0,1,0,1,0,1,1,2,2,6,1,1,0,1,0,3,0,1920
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
263,0,0,0,3,0,1,1,2,0,0,0,0,0,1,0,0,1,1,0,0,1920
264,2,0,2,0,0,2,0,2,0,1,0,0,1,1,1,2,0,0,0,3,1920
265,3,1,2,2,2,0,1,0,0,1,1,1,2,1,2,0,1,0,0,2,1920
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
267,1,0,0,0,1,0,0,0,0,1,2,2,12,1,1,0,0,0,3,7,1920
268,2,0,3,0,3,1,1,0,1,0,1,0,12,0,3,0,1,4,0,8,1920
269,0,1,2,2,1,0,0,1,0,0,0,1,4,0,1,1,0,2,1,4,1920
270,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,1920
271,0,0,1,0,2,2,0,0,0,0,1,1,1,3,1,0,0,3,1,3,1920
272,2,0,2,0,2,0,1,2,0,0,2,0,4,0,1,3,1,2,1,5,1920
273,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1920
274,0,0,0,0,0,0,2,0,2,0,0,0,2,0,1,3,1,0,0,0,1920
275,2,0,2,1,1,0,1,0,0,1,0,1,3,1,2,0,1,0,0,2,1920
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1920
277,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1920
278,0,0,1,0,2,2,0,0,0,0,1,1,2,0,1,0,0,3,1,3,1920
279,0,0,2,0,0,2,0,2,0,0,1,0,3,1,1,1,0,0,0,4,1920
280,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1920
281,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1920
282,0,1,2,0,0,0,0,2,0,2,1,0,2,1,0,0,0,1,1,1,1920
283,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1920
284,2,0,4,2,0,1,0,2,0,0,1,1,1,0,1,3,0,2,1,2,1920
285,2,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,1,3,0,3,1920
286,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,4,1,0,0,0,1920
287,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1920
288,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1920
289,2,0,2,2,1,1,0,0,0,1,1,2,6,1,1,0,0,0,0,2,1920
290,0,2,2,0,0,2,1,2,0,3,1,0,1,1,1,0,1,0,0,4,1920
291,3,0,3,2,1,0,0,1,0,2,2,2,10,4,1,0,0,0,3,4,1920
292,2,2,2,0,2,0,1,0,0,3,0,1,2,1,2,0,1,0,0,4,1920
293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
294,2,0,4,0,1,0,1,0,1,0,2,2,6,1,1,0,1,0,3,0,1920
295,1,0,2,0,1,0,1,2,0,0,1,0,3,0,1,0,1,1,0,4,1920
296,2,0,2,0,1,2,1,2,0,0,2,0,5,0,1,3,1,2,0,5,1920
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1920
298,2,5,7,2,2,0,0,0,0,3,1,1,3,0,1,0,0,3,0,3,1920
299,0,0,0,0,0,4,0,0,0,0,1,3,0,4,3,0,0,6,0,0,1920
300,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1920
301,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,4,1920
302,2,0,1,0,2,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1920
303,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1920
304,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,1920
305,3,0,2,0,0,0,0,2,0,1,1,1,4,1,2,0,0,0,0,4,1920
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1920
