,0,category_code
agit,197,50
accessoire,45,50
nettoyez,5579,50
chiffon,1459,50
nettoyage,5568,50
humide,3990,50
sec,7617,50
batonnet,828,50
antipoussi,437,50
retirez,7271,50
extr,3146,50
placez,6262,50
entier,2955,50
lissez,4776,50
milieu,5276,50
absorber,22,50
automatiquement,702,50
essuyez,3033,50
bulles,1120,50
vers,9017,50
bords,996,50
papier,6014,50
recable,7024,50
universel,8850,50
cordon,2007,50
telephone,8416,50
multifonctions,5466,50
montre,5392,50
convient,1985,50
particulierement,6056,50
famille,3200,50
invites,4360,50
egalement,2842,50
synchroniser,8303,50
donnees,2503,50
cellule,1320,50
zinc,9449,50
approprie,508,50
caracteristiques,1230,50
synchronisation,8301,50
modeles,5353,50
compatibles,1706,50
iphone,4375,50
mini,5289,50
pro,6616,50
telephones,8417,50
tablettes,8345,50
batteries,837,50
externes,3145,50
controleurs,1941,50
google,3735,50
chrome,1492,50
livre,4834,50
pixel,6251,50
galaxy,3530,50
note,5709,50
nexus,5592,50
huawei,3982,50
honor,3937,50
pavillon,6091,50
oneplus,5842,50
differentscable,2357,50
tomee,8553,50
recharger,7040,50
via,9040,50
usbadaptateur,8867,50
adapternintendo,127,50
gameboy,3536,50
alarm,255,50
clock,1573,50
derivedsi,2280,50
saccoche,7523,50
rigide,7324,50
uniquement,8836,50
éclair,9483,50
tés,8797,50
recouvert,7067,50
textile,8468,50
jeuxmanette,4456,50
gamecube,3539,50
argenté,554,50
gcn,3660,50
descriptions,2285,50
argentébarre,555,50
capteur,1221,50
infrarouge,4187,50
wiimini,9248,50
combattez,1647,50
intégrée,4344,50
lecteurs,4656,50
flash,3354,50
hub,3984,50
drives,2563,50
psfeature,6781,50
quel,6891,50
true,8724,50
blue,945,50
plugplay,6386,50
zone,9459,50
activateur,105,50
original,5920,50
mémoire,5503,50
commodité,1670,50
vrai,9171,50
addon,140,50
fiche,3279,50
soudage,7948,50
insertion,4216,50
clé,1580,50
profitez,6658,50
minihub,5294,50
puissiez,6828,50
joueurs,4483,50
fantastiques,3212,50
perdre,6144,50
deuxi,2306,50
rétro,7506,50
amis,334,50
gloire,3720,50
serve,7686,50
questions,6898,50
concernant,1768,50
contacter,1899,50
email,2863,50
momentcollector,5374,50
devil,2322,50
may,5165,50
cryporteclés,2147,50
symbol,8296,50
deadpoolnettoyage,2228,50
ultramince,8815,50
clavier,1545,50
brosse,1104,50
notebooks,5711,50
fen,3249,50
cuisine,2168,50
lacunes,4597,50
profondes,6659,50
nettoyer,5577,50
fente,3253,50
porte,6487,50
tiroir,8525,50
séparé,8328,50
stocké,8099,50
fort,3439,50
poils,6431,50
décontaminé,2671,50
cheveux,1453,50
nettoyageredragon,5574,50
dpi,2535,50
redragon,7082,50
définition,2693,50
mécanique,5497,50
macro,4942,50
technique,8399,50
corps,2016,50
humain,3989,50
touches,8579,50
programmables,6662,50
programmable,6661,50
valeur,8959,50
défaut,2686,50
arri,571,50
refroidir,7098,50
variable,8970,50
led,4665,50
niveaux,5652,50
nominale,5688,50
cycle,2186,50
article,576,50
item,4400,50
xxmm,9421,50
colis,1612,50
utilisationmini,8933,50
audio,672,50
connectez,1822,50
sansfil,7556,50
insérez,4251,50
récepteur,7427,50
ensuite,2949,50
lancer,4613,50
message,5209,50
texte,8467,50
courrier,2072,50
électronique,9525,50
exécuter,3152,50
optimale,5873,50
qwerty,6916,50
brillent,1092,50
sombre,7920,50
touche,8574,50
navigation,5528,50
menu,5203,50
direction,2415,50
raccourci,6923,50
dédiées,2684,50
préserve,6773,50
fonctionnalité,3392,50
branchez,1062,50
logiciel,4856,50
livraisonversion,4832,50
waspx,9200,50
onehanded,5834,50
version,9021,50
commencer,1664,50
premi,6568,50
personnalisé,6179,50
position,6509,50
mappage,5062,50
continu,1913,50
graisse,3750,50
dissipation,2454,50
thermique,8477,50
éviter,9622,50
trop,8705,50
ralentir,6948,50
mati,5108,50
types,8772,50
lanfeng,4618,50
feizhi,3243,50
tour,8584,50
veloursvolant,8984,50
officiel,5797,50
licensed,4720,50
racing,6927,50
wheelcamouflage,9217,50
quantité,6886,50
gardez,3635,50
protégé,6726,50
fabriqué,3164,50
vierge,9067,50
premium,6569,50
lisse,4774,50
lavable,4643,50
propreté,6695,50
commandes,1661,50
peauhautparleur,6118,50
subwoofer,8154,50
stereo,8078,50
superbe,8176,50
exterieure,3142,50
impermeable,4063,50
hautparleur,3869,50
xtreme,9412,50
capacite,1204,50
integre,4259,50
endurance,2915,50
nombre,5684,50
locuteurs,4851,50
president,6578,50
piste,6242,50
sonore,7928,50
frequence,3491,50
entree,2963,50
distance,2458,50
metres,5227,50
degre,2249,50
separation,7673,50
reponse,7201,50
khz,4559,50
rapport,6984,50
signal,7739,50
bruit,1108,50
formats,3428,50
wav,9205,50
wma,9291,50
fonctionnement,3398,50
matiere,5109,50
bandouliere,784,50
differentsqaixag,2378,50
sport,8017,50
couteur,2091,50
qaixag,6861,50
coute,2087,50
couteurs,2092,50
cification,1506,50
applique,492,50
mainslibres,4988,50
procure,6632,50
exp,3115,50
rience,7312,50
silencieuse,7748,50
cialement,1501,50
offrant,5807,50
ajustement,247,50
ultimes,8809,50
gant,3604,50
duction,2612,50
conversation,1971,50
claire,1529,50
mancipant,5015,50
maintenant,4989,50
maximal,5156,50
apparence,472,50
cifications,1507,50
puce,6816,50
neuve,5586,50
rui,7405,50
kun,4588,50
adp,161,50
avrcp,728,50
hfp,3906,50
hsp,3968,50
imp,4056,50
dance,2198,50
quence,6894,50
ponse,6466,50
chanson,1375,50
veille,8977,50
fonctionnelle,3397,50
musique,5488,50
changer,1370,50
changements,1369,50
voix,9140,50
chinois,1475,50
appeler,477,50
num,5733,50
diffusion,2392,50
vocale,9130,50
derni,2281,50
ration,6992,50
recomposition,7055,50
wechat,9212,50
automobile,703,50
logiciels,4858,50
bouchons,1005,50
oreillesmanette,5903,50
gamepads,3567,50
approx,515,50
appuyant,530,50
part,6043,50
partager,6045,50
bons,989,50
moments,5375,50
télécharger,8779,50
vidéos,9062,50
captures,1225,50
direct,2412,50
interférer,4291,50
processus,6626,50
moteurs,5411,50
vibrants,9042,50
intérieurs,4352,50
permettent,6166,50
sentiment,7668,50
immersionunité,4052,50
uap,8799,50
eadp,2788,50
unité,8842,50
prendre,6573,50
retournera,7277,50
front,3496,50
modifier,5360,50
avis,727,50
misesacoche,5322,50
carry,1244,50
portement,6496,50
trousseau,8711,50
améliorée,360,50
épaissi,9558,50
pont,6467,50
aspect,594,50
brillant,1085,50
couche,2034,50
intérieure,4351,50
flanelle,3353,50
antigrattage,425,50
cadre,1157,50
élastique,9516,50
amortir,339,50
résister,7496,50
impact,4057,50
face,3166,50
situations,7811,50
sév,8335,50
telles,8421,50
extrusion,3148,50
forte,3440,50
incidence,4097,50
ouvrir,5963,50
positionnement,6510,50
option,5880,50
oit,5820,50
fonctions,3403,50
chutes,1496,50
mmxmmxmm,5340,50
xcasecable,9345,50
component,1725,50
connectique,1826,50
plaqu,6275,50
kcaracteristique,4538,50
umd,8822,50
video,9054,50
ipp,4384,50
lcdplasma,4649,50
goldmarque,3730,50
dragonparechocs,2549,50
bullet,1124,50
élite,9535,50
donnez,2506,50
elite,2859,50
travailler,8662,50
originaux,5925,50
magnétiques,4967,50
donc,2497,50
échanger,9473,50
souhaitez,7955,50
controllermanette,1953,50
ipodiphone,4381,50
moire,5370,50
ipod,4380,50
convertie,1979,50
stand,8054,50
regarder,7110,50
films,3315,50
écouter,9493,50
musiquegame,5489,50
link,4751,50
advance,165,50
relier,7131,50
advancebanque,166,50
banque,790,50
secours,7623,50
tui,8736,50
portatif,6485,50
cifiquement,1508,50
capacit,1203,50
aliment,268,50
duire,2613,50
augmenter,681,50
curit,2175,50
court,2078,50
circuit,1517,50
surcharges,8215,50
voyants,9168,50
del,2255,50
indiquant,4147,50
inf,4170,50
rieure,7315,50
moin,5368,50
clignote,1561,50
rappeler,6979,50
quilles,6907,50
lior,4758,50
angles,387,50
diff,2344,50
rents,7186,50
rendent,7175,50
angle,386,50
rez,7302,50
emplacements,2888,50
suppl,8189,50
mentaires,5200,50
botier,1000,50
chargeant,1386,50
active,106,50
relais,7120,50
directement,2414,50
abord,13,50
lipolymer,4766,50
approximative,516,50
entr,2958,50
gulation,3806,50
automatique,701,50
batteriexbox,840,50
drapeau,2553,50
inclusesc,4113,50
vidéo,9058,50
slimline,7850,50
playstationetui,6337,50
bitdo,890,50
résistant,7491,50
accru,70,50
supplémentaires,8194,50
portabilité,6475,50
zero,9445,50
rangementstation,6968,50
arr,569,50
ter,8445,50
contrairement,1926,50
couvre,2101,50
poss,6516,50
téléviseur,8791,50
connecté,1831,50
immédiatement,4055,50
reconnu,7063,50
originedual,5928,50
dcv,2222,50
pvc,6844,50
livraisontéléphone,4830,50
goverie,3742,50
multifonctionnel,5464,50
cours,2074,50
date,2214,50
urgence,8860,50
fournir,3455,50
maximales,5159,50
expériences,3133,50
troubleno,8709,50
settingno,7696,50
apps,523,50
neededjust,5547,50
librement,4713,50
officiels,5805,50
métal,5504,50
dsensitive,2575,50
buttonsenable,1136,50
fingers,3328,50
conrols,1843,50
applications,490,50
gamepadx,3570,50
chargecasquettes,1389,50
antidérapantes,417,50
contrleur,1934,50
remplacer,7157,50
quelques,6893,50
facultatif,3184,50
casquettes,1276,50
joystickportail,4508,50
skylanders,7835,50
swap,8253,50
xboxtitulaire,9340,50
anneau,391,50
magn,4957,50
tique,8515,50
riel,7311,50
boucle,1006,50
tal,8366,50
dos,2512,50
retour,7275,50
caisse,1159,50
aspiration,596,50
ger,3680,50
poign,6417,50
tallique,8369,50
ciale,1500,50
portebague,6488,50
rotatif,7371,50
ferme,3259,50
divertissement,2467,50
multim,5469,50
libres,4714,50
lectrolytique,4662,50
lustre,4917,50
structure,8128,50
coins,1609,50
gent,3677,50
bosses,999,50
gez,3686,50
empreintes,2895,50
digitales,2400,50
acc,33,50
dez,2328,50
retirer,7270,50
gante,3605,50
rieurs,7317,50
bague,757,50
voitureindestructible,9136,50
infinitytrombone,4176,50
trombone,8700,50
kits,4574,50
rcm,7010,50
outil,5945,50
maison,4996,50
essayer,3024,50
arch,547,50
fba,3234,50
simulateurs,7784,50
disponible,2443,50
cup,2172,50
fin,3323,50
endommager,2909,50
joycon,4492,50
terminaux,8451,50
gaspillez,3637,50
risquez,7338,50
casser,1278,50
mrc,5449,50
ment,5198,50
lourdement,4893,50
rer,7220,50
sentez,7667,50
machinemanette,4937,50
wiimote,9249,50
hobbytechhousse,3925,50
transportconsole,8650,50
classique,1541,50
jeuxhoeroie,4453,50
numérique,5738,50
multiplateforme,5473,50
arcade,543,50
neogeo,5552,50
gba,3640,50
gbc,3647,50
sega,7632,50
sfc,7707,50
équipé,9576,50
apporte,498,50
passionnante,6075,50
yeux,9430,50
utilisateurs,8927,50
multifonction,5463,50
appliquer,493,50
ebook,2799,50
agréable,200,50
tuer,8735,50
voyager,9164,50
intelligent,4263,50
cadeau,1153,50
anniversaire,394,50
élégante,9536,50
enfants,2918,50
rétroéclairé,7509,50
assurer,620,50
partout,6060,50
puissante,6825,50
lithiumion,4806,50
hours,3955,50
continous,1912,50
intégrés,4348,50
supports,8205,50
continues,1917,50
usbgamepad,8882,50
shooter,7723,50
ioshoeroie,4366,50
tireurs,8523,50
interfaces,4286,50
plupart,6390,50
grip,3778,50
couteau,2088,50
actions,101,50
importantes,4068,50
poignéeplaystation,6429,50
meilleurs,5185,50
septboitier,7675,50
bomberman,984,50
boitiers,979,50
solution,7917,50
idéale,4024,50
elles,2860,50
accueillent,74,50
master,5093,50
system,8309,50
megadrive,5176,50
dvd,2637,50
importé,4072,50
états,9589,50
unis,8840,50
introuvablebracelet,4323,50
poignet,6420,50
pcs,6108,50
xiaomi,9367,50
miband,5242,50
bracelet,1047,50
dragonne,2543,50
estomper,3036,50
portez,6500,50
sommeil,7923,50
ajust,243,50
xlxh,9388,50
multicouleur,5461,50
choisir,1485,50
band,776,50
respectueux,7240,50
sistant,7802,50
visqueuse,9101,50
importante,4067,50
craignant,2110,50
plong,6377,50
paisseur,5996,50
causant,1294,50
probl,6618,50
clair,1526,50
cadran,1156,50
images,4041,50
bracelettournevis,1053,50
demontage,2269,50
gamecustom,3547,50
tournevis,8590,50
