,prdtypecode,words,words_count
10,1300,"sac, ghz, rapide, câble, osmo, altitude, pro, charge, hélices, système, double, led, conçu, distance, pliable, mavic, voler, caméra, matériel, pcs, maquette, brushless, atterrissage, high, corps, image, moteur, contenu, aluminium, package, set, control, puissance, tension, usb, pièces, camera, air, contrôle, photo, eau, protection, route, support, xxcm, design, stable, poids, résistance, métal, pocket, voiture, retour, gps, clé, photos, forte, spécifications, conception, lipo, réel, traxxas, hélice, tête, angle, portable, plastique, téléphone, capacité, alliage, drone, axes, spark, vol, appareil, motor, accessoires, forfait, filtre, transmission, avion, vidéo, battery, fréquence, chargeur, lumière, vitesse, nom, zoom, batterie, wifi, compatible, optique, mobile, quadcopter, mode, racing, mini, télécommande, gimbal",100
11,1301,"billes, ailette, chaussures, tailles, bébés, main, harrows, toutpetits, motif, antislip, craies, unisexe, nouveauné, years, ailettes, fléchettes, préfet, quantité, disponible, matériel, sentiment, choisir, pointe, joueurs, sexe, jeux, bois, fléchette, corps, écran, contenu, aluminium, confortable, set, porter, cartoon, etiquette, automne, sol, quelques, barres, design, jeu, babyfoot, livraison, plateau, poids, saison, étiquette, chaussettes, attrayant, livré, billard, faites, flèche, rendre, conception, cadeau, enfants, objet, table, tapis, gardez, plastique, balles, tableau, queue, enfant, coffret, aramith, standard, quotidien, pied, pieds, foot, peau, queues, hiver, nylon, assurez, détail, forfait, matériaux, âge, bébé, casual, cible, noël, acier, lumière, convient, molle, coton, surface, mode, baby, sock, procédés, recommandé, collants",100
12,1302,"sac, parfumée, rapide, squishies, ligne, soulagement, jouet, charge, main, torche, balle, extérieur, mignons, modes, led, poissons, long, lampe, fitbit, quantité, matériel, pêche, pcs, applicable, stress, bois, réglable, cadeaux, contenu, aluminium, exit, confortable, usb, stream, air, sentir, jouets, eau, protection, jeu, livraison, poids, environnement, montre, métal, camping, garder, randonnée, matériau, conception, cadeau, pvc, sécurité, élastique, charme, tête, enfants, portable, libre, plastique, sentiments, mains, forme, jardin, sport, bracelet, leurre, appât, alliage, mieux, crochet, enfant, tente, cadre, regardez, résistant, appâts, silicone, inoxydable, poche, forfait, filet, leurres, squeeze, âge, corde, poisson, acier, remède, lumière, squishy, batterie, mauvais, plein, relief, mode, mini, trampoline, sacs, bande",100
13,1320,"sac, approprié, jouet, main, bain, motif, poussette, led, langer, lampe, fermeture, matière, matériel, bureau, fête, sexe, matelas, bois, réglable, roues, image, tempérament, lavable, contenu, tissu, confortable, nacelle, châssis, chaise, groupe, usb, air, housse, port, humanisée, positions, canne, famille, polyester, eau, protection, route, voyage, design, jeu, poids, changer, conforme, moniteurs, réelle, naissance, face, différents, siége, conception, écarts, cadeau, sécurité, bavoir, harnais, bandoulière, imprimé, dos, amovible, enfants, tapis, femmes, étre, forme, capacité, parents, enfant, toutes, exécution, peau, silicone, forfait, lit, position, bébé, messenger, montrer, siège, occasion, humidificateur, lumière, convient, coton, huile, mesurées, mode, poignée, auto, article, sacs, chambre, coussin, dossier, odeur, jambes",100
14,1560,"sac, cuisine, main, bain, résilience, épaisseur, chaises, matière, matériel, pcs, bureau, matelas, bois, contenu, tissu, verre, confortable, chaise, soutien, air, ensemble, coutil, confort, polyester, naturel, lattes, eau, support, design, livraison, mémoire, espace, plateau, poids, métal, cuir, intérieur, mousse, entretien, coloris, face, profondeur, maison, matériau, salon, facilement, unique, conception, polyuréthane, sommier, boîte, chiffon, assise, excellent, table, plastique, panneaux, couverture, forme, accoudoirs, garantie, bar, manger, densité, structure, cadre, moderne, décoration, résistant, pieds, stockage, silicone, inoxydable, tabouret, matériaux, lit, mdf, revêtement, tiroirs, storage, siège, canapé, meuble, kgm, acier, ferme, rangement, respirant, coton, accueil, nettoyer, norme, couchage, surface, fauteuil, salle, chambre, coussin, dossier, massif",100
15,1920,"decor, place, livres, vérifier, festival, main, soigneusement, doreiller, motif, lin, fermeture, insérer, matière, matériel, pcs, bureau, couette, cycle, image, lavable, écran, contenu, tissu, décorer, confortable, chaise, housse, manuelle, polyester, carré, photo, eau, club, nombreux, canapélit, voiture, case, décor, intérieur, réelle, entretien, date, face, maison, matériau, salon, différents, spécifications, cadeau, imprimé, rideau, ssassy, taie, tapis, café, déviation, intérieure, couverture, forme, machine, home, différent, écart, magasin, bibliothèque, décoration, tels, partie, froide, légèrement, séparément, lavage, glissière, forfait, lit, linen, linge, sofa, lorsque, luminosité, noël, canapé, fenêtre, lumière, coton, accueil, halloween, mode, impression, note, article, élément, imprimer, chambre, cachée, coussin, taies, javel, oreiller, images",100
16,1940,"préparation, olive, cuisine, noix, sauce, poivre, bonbons, cannelle, matière, halal, chocolat, pâte, grammes, soja, blé, grains, composition, tournesol, vinaigre, frais, beurre, citron, verre, lait, graines, saveur, jambon, bur, naturel, eau, bio, gras, fraise, gluten, poids, nescafé, protéines, général, cacao, sachets, espresso, tassimo, maison, origine, sel, pomme, plat, arômes, boîte, glucose, base, thé, fini, bonbon, gusto, dragées, viande, arôme, café, goût, forme, conditionnement, confiture, jardin, biscuits, contenance, colorant, fruits, haribo, plats, sirop, canard, capsules, orange, amidon, sachet, epices, alimentaire, net, biologique, porc, basilic, carton, muscade, senseo, tomate, riz, farine, ingrédients, vin, sucre, piment, terre, pommes, eric, dosettes, poudre, huile, mini, dolce",100
17,2060,"point, cuisine, main, bain, extérieur, stickers, led, lampe, matière, quantité, matériel, pcs, autocollants, bureau, fête, party, diamant, bois, image, sticker, écran, contenu, tissu, verre, puissance, usb, air, manuelle, eau, protection, murale, design, poids, environnement, lumières, décor, papier, intérieur, imperméable, mural, maison, matériau, salon, unique, différents, cadeau, pvc, solaire, lisse, amovible, rideau, peinture, éclairage, fil, mariage, enfants, muraux, table, tapis, correspondant, plastique, propre, forme, énergie, jardin, alimentation, décorations, cadre, home, nuit, différent, décoration, art, légèrement, wall, arbre, douche, forfait, light, noël, acier, fenêtre, lumière, autocollant, batterie, diamants, porte, résine, accueil, surface, halloween, mode, note, toile, salle, bricolage, chambre, mur, images, symboles",100
18,2220,"sac, chats, pourrait, jouet, tailles, boucle, cage, main, extérieur, led, poissons, moniteur, quantité, matériel, pcs, fit, compréhension, puppy, sexe, bois, réglable, chiens, contenu, tissu, compagnie, chat, confortable, porter, air, jouets, polyester, manuelle, différentes, eau, design, spécification, chien, poids, retour, erreur, cuir, garder, intérieur, imperméable, manteau, maison, matériau, facilement, différents, conception, écarts, sécurité, réel, oiseaux, harnais, durée, collier, dos, éclairage, cou, pièce, plastique, aquarium, veste, forme, animal, animaux, ordinateurs, chiot, robe, résistant, toutes, légèrement, différente, hiver, forfait, vêtements, lit, usure, costume, poitrine, corde, printemps, mat, gilet, lumière, convient, respirant, coton, mesurées, dents, mode, magideal, article, élément, peluche, tour, coussin, cidessus, images",100
19,2280,"charles, point, annee, octobre, michel, louis, dessin, vue, tele, general, affaire, afrique, nord, voix, francais, revue, moto, elections, ete, espagne, robert, histoire, prix, equipe, cinema, semaine, journal, miroir, photo, voyage, horssérie, club, dimanche, etat, nouvelles, europe, film, echo, aujourdhui, photos, maison, republique, match, texte, sommaire, exposition, comics, universel, enfants, libre, courrier, apres, spécial, sports, illustration, mort, femmes, figaro, president, henri, litteraire, guerre, pages, presse, jean, femme, parisien, roi, illustré, art, foot, tome, hebdo, homme, pierre, leon, eme, album, univers, musique, science, georges, andre, gravure, soir, politique, gravures, monde, magazine, illustre, mode, allemagne, auto, bulletin, tour, special, dossier, action, mer, arts",100
20,2403,"billaudot, charles, jeunesse, mangas, volume, éditions, michel, louis, livres, cuisine, décembre, titres, piano, magazines, amour, oeuvre, concerto, revue, violoncelle, encyclopédie, oeuvres, romans, robert, dictionnaire, mickey, larousse, histoire, saint, chant, journal, serie, méthode, flute, siècle, numéros, volumes, intégrale, claude, format, loisirs, maison, guitare, partitions, articles, édition, grandes, numeros, tomes, leduc, premiers, comics, marquepages, enfants, illustrations, manga, violon, gallimard, editions, technique, guerre, pages, presse, aventures, enfant, jean, panini, livre, coffret, femme, albums, bibliothèque, art, tome, homme, juillet, vol, poche, pierre, alto, lots, reliés, album, marvel, roman, sciences, science, atlas, guide, revues, hebdomadaire, secret, encyclopedie, terre, monde, hachette, magazine, fleuve, spirou, série, arts",100
21,2462,"jaquette, câble, pro, charge, manette, gta, fifa, carte, double, creed, balance, raider, wii, psp, collector, version, pack, cartouche, jeux, volant, zelda, platinum, tomb, micro, manettes, system, usb, wireless, vtech, star, ensemble, vita, crash, officielle, sonic, support, jeu, assassin, game, nintendo, microsoft, kinect, lite, megadrive, fat, sega, gba, playstation, skylanders, photos, casque, origine, battle, controller, dragon, mario, édition, dance, one, dualshock, advance, console, fil, city, kart, wars, téléphone, cdrom, figurine, halo, pes, disney, xbox, atari, touch, contrôleur, accessoires, slim, box, vidéo, figurines, video, sony, arcade, chargeur, ball, cable, rangement, blanche, vsmile, famicom, boite, hero, pokemon, élément, color, lego, filaire, play, sims",100
22,2522,"sac, caractistique, rapide, feuille, caracteristique, classique, dessin, encre, carte, fermeture, recto, matériel, pcs, pale, pointe, bureau, corps, feuilles, contenu, enveloppes, tissu, crayon, transparent, chimie, pièces, durabilité, marqueur, marqueurs, journal, lindner, cartes, eau, protection, support, tampon, design, livraison, rire, exacompta, stylos, plume, poids, cahier, métal, érire, gamme, crayons, étiquette, papier, notes, format, gel, roller, coloris, photos, pollen, permanent, facilement, référence, carnet, cadeau, qualitévous, boîte, classeur, dos, peinture, pochette, anneaux, enfants, epaisse, documents, plastique, ecrire, couverture, tracé, pages, stylo, verso, blocnotes, pochettes, clairefontaine, carton, trousse, carnets, bille, écrire, album, lumière, convient, caractéistique, solide, jaune, aisse, étiquettes, boite, impression, reliure, bande, écriture, texture",100
23,2582,"simple, make, anthracite, manual, extérieur, épaisseur, double, led, coussins, plantes, soleil, chaises, matière, matériel, pcs, paper, balcon, bois, high, tressée, brand, tissu, aluminium, package, verre, set, chaise, parasol, montage, terrasse, air, ensemble, housse, sol, résistante, vent, polyester, pot, eau, protection, support, abri, material, design, different, livraison, espace, plateau, poids, résistance, métal, gamme, intérieur, kitchen, toit, imperméable, coloris, profondeur, matériau, salon, facilement, cutting, pvc, solaire, base, polyéthylène, assise, gm², table, plastique, marron, forme, garantie, jardin, tente, structure, cadre, home, résistant, longue, stockage, silicone, metal, revêtement, siège, acier, rangement, lumière, rotin, porte, résine, surface, serre, solide, intempéries, fauteuil, toile, coussin, dossier, color",100
24,2583,"hayward, rapide, volume, extérieur, système, épaisseur, led, inox, m³h, dalle, fond, ovale, cartouche, sunbay, bois, vanne, bassin, places, montage, puissance, margelles, pièces, nécessaire, air, sol, température, débit, eau, protection, parois, espace, marches, poids, filtration, liner, robot, bestway, gamme, pompe, spa, nage, entretien, selon, tri, matériau, sel, facilement, intex, piscine, pvc, sécurité, solaire, électrique, kit, tapis, techniques, couverture, forme, garantie, jardin, capacité, tuyau, fidji, cuve, bâche, tubulaire, structure, nombre, horssol, bora, aspect, gonflable, chlore, skimmer, extérieures, sauna, hiver, douche, accessoires, large, traitement, filtre, livrée, nettoyage, mono, bulles, échelle, chaleur, piscines, ronde, acier, compatible, sable, surface, gré, intérieures, installation, jets, béton, litres",100
25,2585,"sac, rapide, anthracite, câble, coupe, main, camion, système, double, clair, distance, fleurs, plantes, matière, quantité, matériel, pcs, bois, pression, contenu, aluminium, utilise, puissance, arceau, air, sol, antiuv, manuelle, automatique, pot, eau, protection, livraison, usine, poids, minimum, résistance, métal, robot, gamme, film, vis, pompe, intérieur, suivants, meilleur, foncé, lame, origine, matériau, professionnelle, facilement, conception, pvc, sécurité, durée, électrique, outils, thermique, fil, kit, tête, modèles, techniques, plastique, couverture, garantie, jardin, alimentation, tuyau, bâche, microns, tondeuse, trou, inoxydable, outil, vhbw, accessoires, forfait, filtre, appareils, nettoyage, arrosage, accessoire, fixation, aspirateur, acier, lumière, thermicité, convient, batterie, porte, compatible, surface, serre, intempéries, poignée, article, sacs, brosse",100
26,2705,"point, simple, place, sait, coeur, ougrave, philosophie, cours, devenir, vivre, amour, oeuvre, fils, politiques, corps, fin, père, histoire, savoir, ville, ensemble, doit, famille, dit, quelques, voyage, siècle, nombreux, nouvelles, pourquoi, dieu, europe, dire, ecirctre, jeune, partir, face, aujourdhui, maison, texte, souvent, parfois, sens, laquo, analyse, elles, enfants, mort, question, femmes, sociale, semble, guerre, parents, quel, mieux, trouver, enfant, livre, prendre, femme, passé, nuit, tant, art, partie, enfin, rencontre, société, autant, ouvrage, toutes, tome, ecirc, homme, surtout, part, mots, roman, faut, donc, guide, lecture, secret, politique, terre, monde, nature, trop, recherche, puis, ndash, hommes, tour, droit, agrave, vers, première, jamais, questions",100
27,2905,"ghz, inc, ligne, equivalent, carte, système, steam, objets, amd, software, respective, shader, gameplay, directx, activation, disponible, memory, version, joueurs, pack, core, sound, vista, graphiques, aventure, original, cpu, histoire, graphique, system, ville, minimale, vive, cartes, multijoueur, jeu, mémoire, combat, espace, game, minimum, armes, ati, games, nouvelles, code, geforce, entertainment, notes, mac, exclusivement, niveaux, téléchargement, unique, vram, nouveaux, recommandée, gtx, propos, graphics, logo, radeon, series, libre, better, expérience, processeur, interactive, dur, stratégie, guerre, card, ram, duo, exploitation, personnages, toutes, nvidia, ennemis, télécharger, logos, space, extension, intel, dual, processor, vidéo, missions, video, internet, monde, windows, compatible, disque, mode, note, marques, tour, jamais, dlc",100
